auth_id,auth_name,auth_country,auth_date_birth
52                                      ,90s Baby Show                                               ,Spain                         ,1993-03-14
53                                      ,Molly Kendrick                                              ,USA                           ,1964-04-19
54                                      ,Kyle Andrus                                                 ,El Salvador                   ,1969-04-30
55                                      ,Scott Roeben                                                ,Niger                         ,1976-02-15
56                                      ,Southern FM                                                 ,Italy                         ,1980-10-18
57                                      ,Landerson                                                   ,Russian Federation            ,2015-03-27
58                                      ,Daniel Sharner                                              ,United Kingdom                ,1995-07-04
59                                      ,Eric Rochow                                                 ,Canada                        ,1960-07-01
60                                      ,Verbal Assault                                              ,Turkey                        ,1982-10-11
61                                      ,◊ EMERALD-LANE                                              ,Spain                         ,1996-09-24
62                                      ,Gaming With The Moms                                        ,France                        ,1998-08-13
63                                      ,Geeks and Geeklets                                          ,Korea (South)                 ,2022-05-27
64                                      ,WhiskeyBoy Radio                                            ,France                        ,2020-07-19
65                                      ,Wheres My 40 Acres Podcast – Hip-Hop Podcast                ,Belgium                       ,1980-07-28
66                                      ,We Have to Ask                                              ,Afghanistan                   ,1982-04-25
67                                      ,Travis Bean                                                 ,Poland                        ,2001-09-19
68                                      ,Welcome To The Hellmouth                                    ,Belgium                       ,1977-08-19
69                                      ,Faust and Tom                                               ,United Kingdom                ,1958-01-08
70                                      ,Nathan Yaffe and Caldwell Tanner                            ,Russian Federation            ,1969-09-18
71                                      ,Robert Kibble                                               ,Italy                         ,1991-09-13
72                                      ,Triple M Albany 783                                         ,Germany                       ,1984-05-22
73                                      ,We Want The D                                               ,Egypt                         ,1958-06-19
74                                      ,Sky                                                         ,Mexico                        ,1965-06-26
75                                      ,Witty Banter                                                ,Ukraine                       ,1954-04-06
76                                      ,Aminah Imani                                                ,El Salvador                   ,1978-01-06
77                                      ,Christina Kelly                                             ,Canada                        ,1996-06-16
78                                      ,Bradlee Jay                                                 ,Finland                       ,2003-02-08
79                                      ,WhoAreThese.com                                             ,Ukraine                       ,1990-07-12
80                                      ,Earwolf                                                     ,Italy                         ,2019-07-09
81                                      ,Troy Banning                                                ,Korea (South)                 ,1984-08-01
82                                      ,Clint Thiele                                                ,Korea (South)                 ,1997-01-26
83                                      ,Roy Cannaday                                                ,Egypt                         ,1953-05-26
84                                      ,Tincan Digital                                              ,Belgium                       ,1991-05-04
85                                      ,Glen Willis                                                 ,Niger                         ,1955-01-10
86                                      ,Aram Vartian                                                ,Mexico                        ,2001-09-24
87                                      ,Michael Jobe                                                ,Italy                         ,1991-11-19
88                                      ,Nate E-K                                                    ,Austria                       ,2010-02-22
89                                      ,Games Untapped                                              ,Ukraine                       ,1966-02-14
90                                      ,Geek Culture Appreciation Team                              ,France                        ,1961-07-17
91                                      ,Jen: Xbox MVP | Zen: Xbox One and PS4 Gamer                 ,Belgium                       ,1995-07-02
92                                      ,William Wend                                                ,France                        ,2006-11-16
93                                      ,The Quest Gaming Network                                    ,Korea (South)                 ,1959-06-24
94                                      ,Mat                                                         ,Taiwan                        ,1952-08-24
95                                      ,Curtis Mohr                                                 ,Poland                        ,2021-02-25
96                                      ,David Anthony                                               ,Japan                         ,1967-05-04
97                                      ,Mark-John Clifford                                          ,Germany                       ,2017-02-15
98                                      ,GameBanter                                                  ,Taiwan                        ,1962-02-02
99                                      ,KBS WORLD Radio                                             ,Taiwan                        ,1961-06-26
100                                     ,WFIU Public Media (wfiu.org)                                ,Russian Federation            ,1995-08-19
101                                     ,mahe                                                        ,El Salvador                   ,1962-07-23
102                                     ,Gamers With Jobs Conference Call                            ,Italy                         ,1977-02-03
103                                     ,88.5 WFDD - Public Radio For The Piedmont                   ,Afghanistan                   ,2016-01-28
104                                     ,Lisa Beamer                                                 ,Ukraine                       ,1999-10-23
105                                     ,Michael Huntsman                                            ,Belgium                       ,1967-11-05
106                                     ,"Benji Pickens, Max Sirak, and Ben ""Hollywood"" Whitmore      ",Japan                         ,1971-06-11
107                                     ,Entercom Communications Corp.                               ,Niger                         ,2009-04-13
108                                     ,Robert C. Worstell                                          ,Egypt                         ,1997-03-22
109                                     ,5 Things | Wondery                                          ,Turkey                        ,1977-08-26
110                                     ,David Wildsmith                                             ,United Kingdom                ,2014-01-17
111                                     ,Marian Boba / Dj Jonnessey                                  ,Ukraine                       ,1972-09-12
112                                     ,Halifax Is Burning                                          ,Korea (South)                 ,1964-10-05
113                                     ,Justin Anderson                                             ,Japan                         ,2018-05-10
114                                     ,Kenny Hectyc                                                ,Brazil                        ,2013-03-30
115                                     ,iOM Radio Network - OMTimes                                 ,Ukraine                       ,2017-10-22
116                                     ,Mike Dakkak                                                 ,Cambodia                      ,1995-09-05
117                                     ,Tim                                                         ,Niger                         ,2014-09-23
118                                     ,inspiration4life                                            ,Italy                         ,2014-01-09
119                                     ,"Milan Drake, Deven Howard, & Landon Hill                    ",USA                           ,2009-09-16
120                                     ,Vanity Fair / Panoply                                       ,Canada                        ,1956-06-07
121                                     ,Andrew Douglas and the Piper's Dojo Team                    ,Czech Republic                ,1960-03-24
122                                     ,Lee Harris                                                  ,Argentina                     ,1965-10-11
123                                     ,housefrequency Radio Podcast                                ,Czech Republic                ,1961-07-26
124                                     ,BlackListed                                                 ,Turkey                        ,1963-02-12
125                                     ,Barstool Engineering                                        ,France                        ,1978-09-05
126                                     ,Marc Gunn) ( (Marc Gunn)                                    ,Cambodia                      ,1990-05-02
127                                     ,Indypendent Radio                                           ,Belgium                       ,1987-07-05
128                                     ,Craig and Linda Martin                                      ,Taiwan                        ,2008-11-19
129                                     ,Our Father's House Assembly of God                          ,Taiwan                        ,1995-04-19
130                                     ,MyNewLife Church                                            ,Czech Republic                ,1978-10-26
131                                     ,John Shirey                                                 ,India                         ,2012-01-17
132                                     ,Myerstown CoB                                               ,India                         ,1963-03-24
133                                     ,                                                            ,Czech Republic                ,1975-04-19
134                                     ,Calvary Christian Center                                    ,Korea (South)                 ,1987-10-29
135                                     ,Joe Zaino                                                   ,Cambodia                      ,1957-01-04
136                                     ,LLoyd Sterrett                                              ,United Kingdom                ,2009-07-14
137                                     ,                                                            ,India                         ,1990-09-01
138                                     ,Mt. Calvary Revival Center                                  ,Finland                       ,1960-07-15
139                                     ,Mt. Bethel UMC) ( (Mt. Bethel UMC)                          ,Poland                        ,2002-05-04
140                                     ,Pub Theology                                                ,Mexico                        ,1997-04-16
141                                     ,Deep Conspiracist                                           ,Cambodia                      ,2010-10-30
142                                     ,Marlowe Guy                                                 ,Brazil                        ,1951-08-13
143                                     ,Alex Gonzalez                                               ,Russian Federation            ,2021-04-29
144                                     ,Grace Community Church                                      ,Argentina                     ,2008-04-18
145                                     ,Our Saviour Evangelical Free Church                         ,Spain                         ,2011-08-09
146                                     ,"Coptic Orthodox Diocese of the Midlands, United Kingdom     ",Australia                     ,2016-04-28
147                                     ,Dr. Tim Pierce                                              ,USA                           ,1989-10-11
148                                     ,Providence Road Church                                      ,Afghanistan                   ,2018-09-07
149                                     ,J. James Lucero                                             ,Taiwan                        ,1983-08-17
150                                     ,Vacant                                                      ,Canada                        ,1987-07-09
151                                     ,Calvary Chapel Wiesbaden                                    ,USA                           ,1966-04-13
152                                     ,Alpine Bible Church                                         ,Brazil                        ,1991-05-20
153                                     ,Woodford Presbyterian Church                                ,Turkey                        ,1953-05-29
154                                     ,Joseph Shore-Goss                                           ,France                        ,1998-09-26
155                                     ,Pure Grace Church                                           ,Japan                         ,1963-04-13
156                                     ,Pulse                                                       ,France                        ,1999-06-17
157                                     ,Rob Townley                                                 ,United Kingdom                ,2021-06-03
158                                     ,Prophetess Olivia Kofi-Opata                                ,Spain                         ,1962-08-16
159                                     ,UU Church of Kent Ohio                                      ,Australia                     ,2002-11-07
160                                     ,Mosaic Church                                               ,El Salvador                   ,2015-08-06
161                                     ,Mahurangi Vineyard                                          ,El Salvador                   ,2009-02-13
162                                     ,Julian Ungar-Sargon                                         ,Korea (South)                 ,1993-04-20
163                                     ,Urban Life Church                                           ,India                         ,1992-08-22
164                                     ,Freethinkers Radio                                          ,Poland                        ,2011-03-29
165                                     ,Upper Room Community                                        ,Brazil                        ,1978-05-02
166                                     ,Jared Thomsen                                               ,Germany                       ,1960-10-25
167                                     ,Twin Cities Bible Church                                    ,Finland                       ,2016-09-28
168                                     ,Monique Swart                                               ,Taiwan                        ,1974-08-07
169                                     ,George Hinman                                               ,Spain                         ,2006-07-03
170                                     ,TV Broadcast                                                ,Canada                        ,1961-11-03
171                                     ,Unity Church of Overland Park                               ,Korea (South)                 ,1955-05-30
172                                     ,UnitedLife                                                  ,Poland                        ,1971-09-03
173                                     ,Mission Church                                              ,Mexico                        ,1999-01-11
174                                     ,Mission Baptist Church                                      ,Japan                         ,1959-05-13
175                                     ,"Father Chuck, JP, and Matt                                  ",Egypt                         ,2006-06-16
176                                     ,Gregory T. Obert                                            ,Afghanistan                   ,1971-11-28
177                                     ,Shambhala Meditation Center of New York                     ,Mexico                        ,1953-03-14
178                                     ,Magnificat Radio                                            ,Japan                         ,2009-10-21
179                                     ,Yu-Jin Sokushin                                             ,Belgium                       ,1983-10-05
180                                     ,                                                            ,Egypt                         ,1950-11-14
181                                     ,Gregory Dickow  (Life Changers)                             ,Turkey                        ,2003-11-21
182                                     ,Pastor David Moore                                          ,Australia                     ,1989-09-03
183                                     ,Mildura Church of Christ                                    ,Austria                       ,2019-05-20
184                                     ,Jason Cseh                                                  ,Belgium                       ,1965-07-03
185                                     ,Seth Duncan                                                 ,Mexico                        ,1972-07-20
186                                     ,Bethel Community Church                                     ,Argentina                     ,1994-09-18
187                                     ,BELIEVING CHURCH                                            ,Cambodia                      ,2001-02-18
188                                     ,MN Zen Center                                               ,Niger                         ,2003-08-21
189                                     ,Amanda Kingsmith                                            ,India                         ,1957-09-17
190                                     ,                                                            ,Argentina                     ,1963-06-22
191                                     ,Manchester Buddhist Centre                                  ,Belgium                       ,1982-05-02
192                                     ,Patrick Morley                                              ,Argentina                     ,2017-06-16
193                                     ,McFarlin Memorial United Methodist Church                   ,Niger                         ,1953-03-21
194                                     ,Midtown Fellowship Church                                   ,Egypt                         ,1987-02-22
195                                     ,Casey Sabella                                               ,Belgium                       ,2014-04-05
196                                     ,Mitchell Road                                               ,Ukraine                       ,1978-08-11
197                                     ,Dr. JoLynn Gower                                            ,Turkey                        ,2003-06-16
198                                     ,Jonathan Chambers                                           ,Italy                         ,1995-07-10
199                                     ,Moody Church Media                                          ,USA                           ,2016-11-15
200                                     ,Kitchener Gospel Temple                                     ,Belgium                       ,1990-10-28
201                                     ,UBN Radio                                                   ,Japan                         ,2004-09-10
202                                     ,MennoNerds                                                  ,Korea (South)                 ,1990-07-23
203                                     ,Mission Springs Community Church                            ,Brazil                        ,2017-01-06
204                                     ,Mission Point Community Church                              ,Egypt                         ,1987-06-05
205                                     ,Andrew Barlow                                               ,Cambodia                      ,1989-06-14
206                                     ,Mountain Vineyard                                           ,Argentina                     ,1989-04-30
207                                     ,Nicolas Desposito                                           ,Mexico                        ,2013-02-26
208                                     ,MHCC Podcast                                                ,Japan                         ,1958-10-20
209                                     ,Mount Pleasant Presbyterian Church                          ,Taiwan                        ,1983-03-01
210                                     ,Memorial Baptist Church                                     ,Austria                       ,1956-02-28
211                                     ,Melton Vineyard                                             ,Australia                     ,2004-03-01
212                                     ,Mount Carmel Christian Church                               ,Turkey                        ,1959-10-06
213                                     ,Mount Calvary Lutheran Church                               ,USA                           ,1956-04-04
214                                     ,"EWTN, Global Catholic Television Network                    ",Argentina                     ,1984-11-08
215                                     ,Alex Brekke                                                 ,Afghanistan                   ,1987-06-27
216                                     ,WPFW - Pacifica in Washington DC                            ,Australia                     ,1968-10-26
217                                     ,KFUO Radio                                                  ,El Salvador                   ,2020-11-05
218                                     ,Oconee Presbyterian Church                                  ,Poland                        ,1968-03-30
219                                     ,Orthodox Christian Fellowship and Ancient Faith Radio       ,Argentina                     ,2006-03-17
220                                     ,cbp@luthersem.edu                                           ,Poland                        ,1972-01-25
221                                     ,Calvary Chapel Christian Fellowship Sarasota Flori          ,Australia                     ,1956-01-27
222                                     ,Jadon Haynes                                                ,Austria                       ,2012-09-13
223                                     ,New Life                                                    ,Brazil                        ,1968-07-04
224                                     ,Brett Andrews                                               ,Czech Republic                ,2012-08-14
225                                     ,National Community Church                                   ,Niger                         ,1955-10-30
226                                     ,Steven Michaelis                                            ,Poland                        ,1976-11-09
227                                     ,Web Administrator                                           ,Japan                         ,1951-05-13
228                                     ,Olivet Evangelical Free Church                              ,Germany                       ,1985-02-26
229                                     ,New Life Baptist Church                                     ,Brazil                        ,2001-05-03
230                                     ,                                                            ,France                        ,1958-10-09
231                                     ,OASIS CHURCH                                                ,Germany                       ,1975-03-01
232                                     ,Marshall Poe                                                ,Russian Federation            ,1956-09-06
233                                     ,Old Savannah Baptist                                        ,Poland                        ,2021-08-03
234                                     ,Mike Potts                                                  ,Poland                        ,1981-03-28
235                                     ,WWSBC                                                       ,Turkey                        ,1956-11-10
236                                     ,Oakwood Bible Church                                        ,France                        ,1960-05-15
237                                     ,podcasts@subsplash.com                                      ,Austria                       ,1959-06-27
238                                     ,Oakbridge University                                        ,USA                           ,1969-03-08
239                                     ,New Beginnings Church | Houston                             ,Argentina                     ,2018-02-27
240                                     ,Northside Baptist Church                                    ,Taiwan                        ,1951-09-14
241                                     ,                                                            ,Germany                       ,1995-06-30
242                                     ,Oak Haven Church                                            ,Egypt                         ,1962-03-27
243                                     ,Oak Grove Assembly                                          ,India                         ,2016-08-10
244                                     ,Network Church Sheffield                                    ,Japan                         ,1956-04-14
245                                     ,Father David Skillman                                       ,Czech Republic                ,2005-01-21
246                                     ,Jeremy Berry                                                ,Turkey                        ,1981-10-22
247                                     ,"Nick Blevins: Church Leader, Speaker and Coach              ",Austria                       ,2021-10-09
248                                     ,New Life Church                                             ,El Salvador                   ,1994-01-05
249                                     ,New Life Church                                             ,Germany                       ,1951-02-02
250                                     ,North Valley Church                                         ,USA                           ,2013-10-18
251                                     ,New Life Community Church                                   ,Taiwan                        ,2016-11-20
252                                     ,North Tampa Church of Christ                                ,Argentina                     ,1955-08-28
253                                     ,                                                            ,Finland                       ,1997-10-03
254                                     ,Rev Robert M McCollum                                       ,Brazil                        ,1993-10-25
255                                     ,Luke Norsworthy                                             ,Brazil                        ,1958-05-23
256                                     ,Frontline Community Church                                  ,Australia                     ,2015-09-11
257                                     ,Daniel Lee                                                  ,Poland                        ,1994-04-22
258                                     ,Campus Outreach Minneapolis                                 ,El Salvador                   ,1971-04-06
259                                     ,Newlife Anglican Church                                     ,USA                           ,2013-09-07
260                                     ,NewLife Church                                              ,Afghanistan                   ,2012-01-14
261                                     ,Ian Buckley                                                 ,Mexico                        ,1963-05-05
262                                     ,Newberry ARP Church                                         ,Afghanistan                   ,1973-07-30
263                                     ,Newbreak.org                                                ,Finland                       ,1960-02-03
264                                     ,Novation Church                                             ,Mexico                        ,2013-08-04
265                                     ,Not Your Pastor's Podcast                                   ,France                        ,1981-05-01
266                                     ,"Pdt. Em. Johnvin Anugraha, M.Th                             ",Finland                       ,2002-05-24
267                                     ,Mark Reed                                                   ,Australia                     ,1975-02-26
268                                     ,Paramount Baptist Church                                    ,Ukraine                       ,2004-01-19
269                                     ,                                                            ,Egypt                         ,1992-06-29
270                                     ,Pathway Church                                              ,Belgium                       ,1995-02-28
271                                     ,"Pentecostal Tabernacle, Cambridge MA                        ",France                        ,1982-06-26
272                                     ,Chris Greaves                                               ,Afghanistan                   ,1997-03-27
273                                     ,Craig Hadley                                                ,USA                           ,1983-06-23
274                                     ,Pastor Bankie Olusina                                       ,Germany                       ,1965-05-20
275                                     ,Room 4216 - Pastor Dave Andrus                              ,United Kingdom                ,1959-09-09
276                                     ,RWCCI                                                       ,Afghanistan                   ,1958-02-10
277                                     ,Louie Giglio                                                ,Spain                         ,2014-09-09
278                                     ,                                                            ,Afghanistan                   ,1981-07-28
279                                     ,Various Speakers                                            ,Czech Republic                ,1968-08-07
280                                     ,Pleasant Hill Baptist Church                                ,Argentina                     ,2020-04-16
281                                     ,Pastor Evans                                                ,Turkey                        ,2010-08-24
282                                     ,                                                            ,India                         ,2003-04-29
283                                     ,                                                            ,France                        ,1957-11-05
284                                     ,Parkwood Baptist Church (info@parkwoodbaptist.com)          ,Poland                        ,2012-11-17
285                                     ,Gold Country Church                                         ,Mexico                        ,1980-06-20
286                                     ,"Bloom Church (St. Paul, MN)                                 ",Cambodia                      ,1963-03-22
287                                     ,Pairadocs                                                   ,Belgium                       ,1978-04-18
288                                     ,Aaron Taylor                                                ,Argentina                     ,2004-09-12
289                                     ,Way Rutherford                                              ,Mexico                        ,1956-07-24
290                                     ,PCNP                                                        ,Turkey                        ,1980-08-02
292                                     ,Parkview Church                                             ,USA                           ,2016-09-24
293                                     ,City First Church                                           ,India                         ,2005-03-25
294                                     ,Fr. Dave Nix                                                ,Afghanistan                   ,2003-10-16
295                                     ,                                                            ,Russian Federation            ,2019-11-05
296                                     ,Britton Wood                                                ,Japan                         ,1975-08-27
297                                     ,Jesse Schreck                                               ,Afghanistan                   ,2016-05-18
298                                     ,Calvary Chapel of Tucson                                    ,Germany                       ,1974-07-11
299                                     ,Jeff                                                        ,Belgium                       ,1983-10-25
300                                     ,Pacific Crossroads Church                                   ,El Salvador                   ,1954-04-11
301                                     ,Derek and Sharon Gilbert                                    ,Poland                        ,1963-04-09
302                                     ,"Water of Life Church of Plano, Inc.                         ",Spain                         ,1951-06-26
303                                     ,Persecution                                                 ,USA                           ,1996-08-10
304                                     ,Grace Community Church                                      ,Egypt                         ,1971-09-02
305                                     ,Pastor Edward Donnelly                                      ,Afghanistan                   ,1968-07-06
306                                     ,"Podcast from Hope House Church, Barnsley                    ",Japan                         ,1999-11-14
307                                     ,Trinity Bible Church Felton                                 ,USA                           ,1986-04-16
308                                     ,Priest                                                      ,Afghanistan                   ,1972-07-11
309                                     ,Warwick Baptist Church                                      ,Brazil                        ,2021-06-03
310                                     ,Peoples Community Church                                    ,Spain                         ,1977-03-28
